y	running_acct	duration	payment	purpose	marital_and_gender	current_employ	age
1	1	18	4	2	2	2	21
1	1	9	4	0	3	3	36
1	2	12	2	9	2	4	23
1	1	12	4	0	3	3	39
1	1	12	4	0	3	3	38
1	1	10	4	0	3	2	48
1	1	8	4	0	3	4	39
1	1	6	4	0	3	2	40
1	4	18	4	3	2	1	65
1	2	24	2	3	2	1	23
1	1	11	4	0	3	3	36
1	1	30	4	1	4	4	24
1	1	6	4	3	2	4	31
1	2	48	3	10	3	1	31
1	1	18	2	3	4	4	23
1	1	6	2	3	3	3	44
1	1	11	4	0	3	3	40
1	2	18	2	3	4	2	25
1	2	36	4	3	3	5	36
1	4	11	4	0	3	3	39
1	1	6	4	0	3	3	37
1	2	12	4	0	3	2	49
0	2	36	2	5	3	2	33
1	2	12	4	4	3	4	26
1	1	6	4	0	3	2	44
1	2	11	3	3	3	4	51
1	1	12	2	2	2	5	24
1	2	9	4	3	3	5	37
1	4	15	2	0	3	3	29
1	3	42	4	1	3	5	56
1	3	30	4	3	3	5	47
1	4	36	4	0	3	4	37
1	4	36	4	0	3	5	34
1	4	24	2	3	2	4	28
1	1	15	2	0	3	2	36
1	1	6	4	0	2	5	39
1	4	12	4	0	3	5	38
1	4	12	4	3	3	5	26
1	4	18	2	1	3	3	31
1	4	24	4	1	2	5	41
1	4	12	4	5	2	4	23
1	1	24	2	10	2	5	58
1	4	18	4	0	2	3	36
1	2	24	4	9	3	4	34
1	2	18	2	6	3	3	61
0	1	18	2	0	2	2	23
1	4	24	2	9	3	4	25
0	4	18	4	6	2	3	30
1	4	24	2	0	4	2	33
1	1	24	4	9	3	4	26
1	4	12	2	0	1	3	49
1	3	36	2	3	3	3	23
1	4	9	4	0	3	3	30
1	4	12	4	3	3	5	49
1	4	24	2	1	3	5	41
1	1	12	4	3	2	4	58
1	4	12	4	3	3	5	63
1	1	15	2	3	4	2	27
1	4	21	2	3	3	5	41
1	4	36	2	0	3	3	36
1	4	12	4	0	3	3	44
1	4	24	2	1	2	2	29
1	4	48	4	3	3	5	47
1	4	36	3	0	3	5	45
1	1	12	3	0	3	3	43
1	4	6	4	3	2	3	27
1	4	12	2	3	3	3	52
1	4	24	2	3	3	4	28
1	2	12	2	3	2	3	22
1	4	24	3	0	3	5	60
1	2	21	4	2	3	4	32
1	4	30	2	3	3	5	58
1	4	36	2	3	3	5	39
1	4	24	2	2	3	4	31
1	3	12	2	3	3	5	37
1	2	9	2	2	3	4	24
1	4	21	4	1	3	5	36
1	4	24	4	0	3	5	60
1	1	21	4	0	4	5	30
1	4	15	2	3	3	5	35
1	4	24	4	0	2	3	37
1	4	36	4	3	3	5	51
1	2	18	2	0	3	3	30
1	3	15	4	1	3	3	36
1	4	15	4	2	3	5	63
1	1	12	2	0	3	3	31
1	4	24	4	1	3	4	35
1	4	36	3	3	2	3	34
1	1	6	4	0	2	4	39
1	2	24	3	0	2	3	42
1	2	12	4	0	3	2	27
1	2	30	2	3	2	5	25
1	2	30	0	9	2	3	28
1	1	9	2	3	3	4	59
1	2	18	4	2	3	5	41
1	4	27	4	2	3	2	32
1	2	12	4	3	2	3	23
0	2	36	3	9	1	3	30
1	1	9	2	2	3	3	25
1	2	42	4	9	2	4	41
1	4	24	4	2	3	3	40
1	1	15	2	9	2	3	22
1	2	24	3	9	3	3	34
1	2	36	3	0	2	3	54
1	4	24	4	3	4	4	33
1	4	24	2	0	3	3	31
1	4	12	4	9	2	3	29
1	4	18	2	3	4	2	39
1	4	24	2	3	2	2	38
1	4	12	4	6	2	4	61
0	1	15	2	0	2	3	29
1	1	6	2	2	2	5	49
1	2	12	4	0	1	4	36
1	4	12	2	2	2	3	26
1	2	21	2	2	3	4	35
1	2	18	2	0	3	4	28
1	2	9	4	2	3	4	35
1	4	24	2	1	2	3	28
1	4	9	4	6	3	5	52
1	4	24	2	2	3	5	32
1	2	36	2	3	2	2	30
1	4	36	4	1	3	5	35
1	2	6	2	3	4	2	30
1	4	15	4	3	2	3	43
1	4	15	2	3	3	5	47
1	4	24	4	3	4	2	47
1	4	15	2	4	2	2	24
1	4	6	2	2	3	3	32
1	4	18	2	0	4	3	30
1	4	24	4	3	3	5	36
1	3	24	2	2	3	3	26
1	4	18	2	2	3	3	43
1	3	6	2	2	3	3	41
1	4	18	2	3	2	2	26
1	4	10	2	0	2	3	64
1	4	6	2	2	1	3	33
1	2	12	2	0	3	5	54
1	1	24	1	0	3	4	32
1	2	6	4	8	2	4	39
1	3	24	4	3	3	3	31
1	4	36	2	3	2	5	45
1	4	9	2	6	3	5	64
1	2	24	2	3	2	5	42
1	4	9	4	2	3	1	31
1	4	36	2	3	2	3	25
1	4	21	2	1	3	5	46
1	1	24	2	1	3	5	49
1	1	12	2	2	1	5	49
1	4	12	2	9	3	4	36
1	2	24	4	3	3	5	48
1	3	12	1	3	2	3	42
1	4	12	2	3	2	2	29
1	4	48	4	1	3	4	35
1	2	24	2	0	3	4	38
1	2	12	2	3	1	3	26
1	4	24	4	3	3	3	35
1	1	12	2	3	2	3	23
1	4	30	4	3	3	4	38
0	2	48	1	9	2	5	59
1	2	12	4	2	3	5	28
1	4	12	4	3	2	3	35
1	3	24	4	9	1	3	36
1	4	24	2	2	2	4	25
1	4	15	4	2	3	3	28
1	3	15	2	6	2	2	23
1	4	9	4	0	3	3	48
1	4	30	4	3	2	4	25
1	4	24	4	9	3	3	74
1	4	15	4	2	2	4	24
