"y" "x"
"1" 2.438432 0
"2" 8.358128 0
"3" 98.325343 1
"4" 115.060153 1
"5" 128.905388 2
"6" 123.461811 2
"7" 148.301333 3
"8" 138.097509 3
"9" 153.098869 4
"10" 119.084548 4
"11" 87.664525 5
"12" 134.884074 5
"13" 91.712873 6
"14" 126.807447 6
"15" 40.41131 7
"16" 54.94221 7
"17" 33.033863 8
"18" 35.737642 8
"19" 14.989701 9
"20" -1.175713 9
"21" 2.438432 10
"22" 8.358128 10
"23" 28.325343 11
"24" 45.060153 11
"25" 48.905388 12
"26" 43.461811 12
"27" 118.301333 13
"28" 108.097509 13
"29" 233.098869 14
"30" 199.084548 14
"31" 337.664525 15
"32" 384.884074 15
